file_path,filename,emotion,emotion_code,actor,gender,intensity,statement,statement_text,repetition,vocal_channel,modality,sample_rate,duration,peak_amplitude,rms_energy,corrupted,silent,clipped,very_short,very_long,issue
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,calm,01,1,male,normal,1,Kids are talking by the door,1,speech,audio_only,48000,3.3032916666666665,0.04058837890625,0.004000635351985693,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,calm,01,1,male,normal,1,Kids are talking by the door,2,speech,audio_only,48000,3.3366666666666664,0.04815673828125,0.004283341113477945,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,calm,01,1,male,normal,2,Dogs are sitting by the door,1,speech,audio_only,48000,3.2699166666666666,0.0584716796875,0.0050836047157645226,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,calm,01,1,male,normal,2,Dogs are sitting by the door,2,speech,audio_only,48000,3.1698333333333335,0.06268310546875,0.004886147566139698,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,calm,02,1,male,normal,1,Kids are talking by the door,1,speech,audio_only,48000,3.5368541666666666,0.0262451171875,0.002956344746053219,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,calm,02,1,male,normal,1,Kids are talking by the door,2,speech,audio_only,48000,3.6035833333333334,0.0323486328125,0.0030847270973026752,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,calm,02,1,male,normal,2,Dogs are sitting by the door,1,speech,audio_only,48000,3.5035,0.038726806640625,0.004294505342841148,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,calm,02,1,male,normal,2,Dogs are sitting by the door,2,speech,audio_only,48000,3.4701458333333335,0.047332763671875,0.0045143011957407,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,calm,02,1,male,strong,1,Kids are talking by the door,1,speech,audio_only,48000,3.703708333333333,0.022735595703125,0.002413610927760601,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,calm,02,1,male,strong,1,Kids are talking by the door,2,speech,audio_only,48000,4.004,0.027130126953125,0.0026412159204483032,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,calm,02,1,male,strong,2,Dogs are sitting by the door,1,speech,audio_only,48000,4.204208333333334,0.022552490234375,0.003099818015471101,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,calm,02,1,male,strong,2,Dogs are sitting by the door,2,speech,audio_only,48000,4.004,0.02978515625,0.003410901175811887,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,happy,03,1,male,normal,1,Kids are talking by the door,1,speech,audio_only,48000,3.4701458333333335,0.058502197265625,0.007172900252044201,False,False,False,False,False,clean
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,happy,03,1,male,normal,1,Kids are talking by the door,2,speech,audio_only,48000,3.470125,0.074981689453125,0.008320282213389874,False,False,False,False,False,clean
