file_path,filename,emotion,emotion_code,actor,gender,intensity,statement,statement_text,repetition,vocal_channel,modality,sample_rate,num_samples,duration,rms_energy
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,calm,01,1,male,normal,1,Kids are talking by the door,1,speech,audio_only,48000.0,158558.0,3.3032916666666665,0.004000635351985693
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,calm,01,1,male,normal,1,Kids are talking by the door,2,speech,audio_only,48000.0,160160.0,3.3366666666666664,0.004283341113477945
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,calm,01,1,male,normal,2,Dogs are sitting by the door,1,speech,audio_only,48000.0,156956.0,3.2699166666666666,0.0050836047157645226
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,calm,01,1,male,normal,2,Dogs are sitting by the door,2,speech,audio_only,48000.0,152152.0,3.1698333333333335,0.004886147566139698
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,calm,02,1,male,normal,1,Kids are talking by the door,1,speech,audio_only,48000.0,169769.0,3.5368541666666666,0.002956344746053219
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,calm,02,1,male,normal,1,Kids are talking by the door,2,speech,audio_only,48000.0,172972.0,3.6035833333333334,0.0030847270973026752
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,calm,02,1,male,normal,2,Dogs are sitting by the door,1,speech,audio_only,48000.0,168168.0,3.5035,0.004294505342841148
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,calm,02,1,male,normal,2,Dogs are sitting by the door,2,speech,audio_only,48000.0,166567.0,3.4701458333333335,0.0045143011957407
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,calm,02,1,male,strong,1,Kids are talking by the door,1,speech,audio_only,48000.0,177778.0,3.703708333333333,0.002413610927760601
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,calm,02,1,male,strong,1,Kids are talking by the door,2,speech,audio_only,48000.0,192192.0,4.004,0.0026412159204483032
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,calm,02,1,male,strong,2,Dogs are sitting by the door,1,speech,audio_only,48000.0,201802.0,4.204208333333334,0.003099818015471101
/Users/devanshbansal/Desktop/ser/dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,calm,02,1,male,strong,2,Dogs are sitting by the door,2,speech,audio_only,48000.0,192192.0,4.004,0.003410901175811887
